"KEGG.ID","Description","pvalue","p.adjust","qvalue","geneID","human_geneID"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,19,"19"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,177,"177"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,207,"207"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,11651,"207"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,24185,"207"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,317,"317"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,355,"355"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,356,"356"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,387,"387"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,11848,"387"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,468,"468"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,11911,"468"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,581,"581"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,12028,"581"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,24887,"581"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,596,"596"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,12043,"596"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,598,"598"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,12048,"598"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,815,"815"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,818,"818"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,834,"834"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,836,"836"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,12367,"836"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,25402,"836"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,840,"840"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,37729,"840"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,841,"841"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,842,"842"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,948,"948"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,958,"958"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,1432,"1432"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,26416,"1432"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,34780,"1432"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,81649,"1432"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,191743,"1432"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,1543,"1543"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,1649,"1649"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,13198,"1649"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,29467,"1649"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,2081,"2081"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,78943,"2081"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,2353,"2353"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,314322,"2353"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,2919,"2919"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,2920,"2920"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,14825,"2920"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,2932,"2932"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3265,"3265"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3305,"3305"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3306,"3306"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3308,"3308"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3309,"3309"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,25617,"3309"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3320,"3320"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3329,"3329"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3383,"3383"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,15894,"3383"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,25464,"3383"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3439,"3439"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3447,"3447"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3456,"3456"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,15977,"3456"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3551,"3551"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3553,"3553"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,16176,"3553"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,24494,"3553"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3569,"3569"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,16193,"3569"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,24498,"3569"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3576,"3576"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3593,"3593"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3654,"3654"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,569226,"3654"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3661,"3661"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,54131,"3661"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3717,"3717"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,16452,"3717"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3725,"3725"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,3845,"3845"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4067,"4067"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4217,"4217"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4312,"4312"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4314,"4314"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4318,"4318"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,17395,"4318"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,81687,"4318"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4773,"4773"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4780,"4780"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,18024,"4780"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,83619,"4780"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4790,"4790"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,18033,"4790"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,81736,"4790"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4792,"4792"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4846,"4846"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,24600,"4846"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,287024,"4846"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,4893,"4893"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,5290,"5290"
"hsa05417","Lipid and atherosclerosis",1.03545725267694e-40,3.41700893383391e-38,1.52593700394497e-38,5291,"5291"
